image	latitude	longitude	altitude		yaw	pitch	roll
R1010979.JPG	-27.1225898921	-109.2832199499	518.537		303.4	5.8	-0.1
R1010980.JPG	-27.1219107142	-109.2841503582	521.045		301.1	7.6	1.3
R1010981.JPG	-27.1212755944	-109.2851505026	515.095		298.2	5.7	-1.2
targets.JPG	48.462229	-123.308462	24		0	4.9	-0.8
R1010982.JPG	-27.1206870906	-109.2860784361	516.654		297.8	4.9	-0.8
R1010983.JPG	-27.1201189594	-109.2870195569	506.291		296.1	3.2	0.0
R1010984.JPG	-27.1195313640	-109.2880399496	504.643		293.8	5.1	0.9
R1010985.JPG	-27.1189818653	-109.2890213372	500.490		297.9	7.7	0.1
R1010986.JPG	-27.1183832839	-109.2899706449	506.976		299.3	4.6	0.4
R1010987.JPG	-27.1177598720	-109.2909035056	503.096		298.2	5.2	-0.1
R1010988.JPG	-27.1171266356	-109.2919063964	507.368		297.4	5.6	-1.0
R1010989.JPG	-27.1165802360	-109.2928188027	501.473		296.7	10.4	-0.1
R1010990.JPG	-27.1159513193	-109.2938157556	506.861		298.7	2.9	-1.0
R1010991.JPG	-27.1153527350	-109.2947447171	504.351		297.2	6.1	-1.3
R1010992.JPG	-27.1147708768	-109.2957303731	506.807		296.1	8.9	1.0
R1010993.JPG	-27.1141603398	-109.2967186895	509.865		299.4	7.3	0.3
R1010994.JPG	-27.1135847121	-109.2976010540	507.401		298.6	8.1	-1.6
R1010995.JPG	-27.1129636607	-109.2986075842	504.939		298.4	4.2	0.7
R1010996.JPG	-27.1123849733	-109.2995485027	509.070		297.7	7.3	-0.6
R1010997.JPG	-27.1117862745	-109.3005428782	509.024		298.1	5.2	0.4
R1010998.JPG	-27.1111769984	-109.3015372605	508.023		297.1	6.5	0.4
R1010999.JPG	-27.1126625582	-109.3020130393	515.555		117.8	5.8	-0.6
R1011000.JPG	-27.1132163917	-109.3010100460	518.311		119.8	6.1	-0.2
R1011001.JPG	-27.1137856277	-109.3000495278	514.057		121.3	-0.1	-1.7
R1011002.JPG	-27.1143885983	-109.2990140638	510.731		121.3	3.8	-1.7
R1011003.JPG	-27.1149699248	-109.2980342898	506.651		123.1	7.9	-1.9
R1011004.JPG	-27.1155494390	-109.2971015842	504.859		121.9	4.1	1.4
R1011005.JPG	-27.1161859224	-109.2961368527	508.858		122.8	4.1	-0.4
R1011006.JPG	-27.1167659765	-109.2952219385	507.654		121.3	5.9	-0.2
R1011007.JPG	-27.1173804262	-109.2942393796	509.775		123.6	5.8	-0.3
R1011008.JPG	-27.1179676885	-109.2933378295	507.842		123.3	6.3	1.9
R1011009.JPG	-27.1185960341	-109.2923594574	505.322		121.2	5.5	-2.2
R1011010.JPG	-27.1191584093	-109.2913798236	508.570		120.6	8.2	2.1
R1011011.JPG	-27.1197307045	-109.2904561399	503.526		121.3	2.8	2.2
R1011012.JPG	-27.1203306259	-109.2895006147	511.473		124.0	6.7	-0.6
R1011013.JPG	-27.1209704727	-109.2884601812	504.530		122.3	5.3	3.3
R1011014.JPG	-27.1215494410	-109.2875551574	508.030		123.0	5.7	-2.4
R1011015.JPG	-27.1221537753	-109.2865740014	513.613		122.5	7.5	-2.8
R1011016.JPG	-27.1227515490	-109.2856250646	514.282		123.5	10.3	-3.4
R1011017.JPG	-27.1233539722	-109.2846939411	525.496		125.8	6.6	-4.0
R1011018.JPG	-27.1239738499	-109.2837256082	527.226		121.1	4.7	-1.2
R1011019.JPG	-27.1248646246	-109.2850228235	513.558		304.4	4.5	-0.3
R1011020.JPG	-27.1242000592	-109.2859395102	516.805		300.0	8.9	-3.1
R1011021.JPG	-27.1235898949	-109.2869065139	519.093		299.5	7.6	1.5
R1011022.JPG	-27.1229526988	-109.2879201197	508.193		296.7	3.8	-0.4
R1011023.JPG	-27.1224140111	-109.2888296062	505.548		294.9	3.5	-0.3
R1011024.JPG	-27.1218577539	-109.2897957178	508.234		295.6	3.0	-2.3
R1011025.JPG	-27.1212365829	-109.2908171211	502.069		297.4	8.5	1.4
R1011026.JPG	-27.1206352439	-109.2917585067	502.396		296.8	2.0	-0.3
R1011027.JPG	-27.1200522520	-109.2926784874	499.838		299.2	8.1	-3.0
R1011028.JPG	-27.1194656256	-109.2936904873	502.357		294.7	7.0	0.9
R1011029.JPG	-27.1188592831	-109.2946709114	504.861		301.5	4.2	0.8
R1011030.JPG	-27.1182547604	-109.2955941664	504.708		297.4	10.3	0.5
R1011031.JPG	-27.1176551754	-109.2965435842	505.083		298.0	5.6	1.2
R1011032.JPG	-27.1170752331	-109.2974455997	510.175		297.9	4.3	-1.7
R1011033.JPG	-27.1164279508	-109.2984975483	505.868		297.1	6.1	0.8
R1011034.JPG	-27.1158834881	-109.2994227689	511.542		297.0	6.2	0.9
R1011035.JPG	-27.1152873979	-109.3003698959	513.070		297.7	7.5	1.0
R1011036.JPG	-27.1146328904	-109.3014358143	515.675		295.0	10.5	0.2
R1011037.JPG	-27.1140850111	-109.3023352573	520.380		297.5	8.5	0.7
R1011038.JPG	-27.1135034732	-109.3032472028	515.226		297.7	7.0	-1.3
R1011039.JPG	-27.1149217767	-109.3037359848	520.903		118.4	6.7	1.7
R1011040.JPG	-27.1154850556	-109.3027479243	523.628		118.6	6.5	4.2
R1011041.JPG	-27.1160360337	-109.3018433454	531.763		123.0	4.6	3.9
R1011042.JPG	-27.1166793657	-109.3008248036	524.715		123.2	7.4	0.3
R1011043.JPG	-27.1172848928	-109.2998975011	516.859		123.9	4.1	-2.8
